fieldID,fieldDependencyID,ecFieldID
1138,1365,1153
1138,1365,1154
1138,1365,1155
1153,0,1156
1153,0,1157
1153,0,1158
1153,0,1159
1154,0,1160
1154,0,1161
1155,0,1162
1155,0,1163
1155,0,1164
1155,0,1165
1155,0,1166
1155,0,1400
1155,0,1167
1155,0,1402
1155,0,1403
1155,0,1401
1138,1352,1175
1138,1352,1176
1138,1352,1177
1138,1352,1178
1138,1352,1179
1175,0,1180
1175,0,1181
1175,0,1182
1175,0,1183
1175,0,1184
1175,0,1185
1175,0,1186
1175,0,1187
1185,0,1188
1185,0,1189
1185,0,1190
1185,0,1191
1187,0,1192
1187,0,1193
1187,0,1190
1187,0,1191
1162,0,1194
1162,0,1195
1162,0,1196
1176,0,1197
1176,0,1199
1176,0,1198
1176,0,1199
1176,0,1200
1176,0,1199
1176,0,1201
1176,0,1199
1176,0,1202
1176,0,1239
1176,0,1240
1177,0,1203
1203,0,1207
1203,0,1204
1203,0,1205
1203,0,1206
1203,0,1208
1203,0,1209
1203,0,1210
1203,0,1397
1203,0,1398
1203,0,1399
1178,0,1211
1178,0,1199
1178,0,1212
1178,0,1199
1178,0,1213
1178,0,1199
1178,0,1214
1178,0,1199
1178,0,1215
1178,0,1216
1178,0,1217
1178,0,1199
1178,0,1218
1178,0,1199
1178,0,1219
1178,0,1199
1178,0,1199
1179,0,1221
1179,0,1222
1179,0,1382
1179,0,1383
1179,0,1384
1179,0,1385
1179,0,1386
1179,0,1387
1179,0,1252
1179,0,1238
1237,0,1223
1237,0,1224
1237,0,1225
1237,0,1226
1237,0,1227
1237,0,1228
1237,0,1229
1237,0,1230
1237,0,1231
1238,0,1233
1238,0,1234
1238,0,1235
1238,0,1236
1240,0,1837
1240,0,1838
1240,0,1839
1240,0,1840
1240,0,1841
1240,0,1842
1240,0,1843
1240,0,1844
1240,0,1845
1240,0,1846
1240,0,1847
1240,0,1848
1240,0,1849
1240,0,1850
1240,0,1851
1240,0,1852
1240,0,1853
1240,0,1854
1240,0,1855
1240,0,1856
1240,0,1857
1240,0,1858
1240,0,1859
1240,0,1860
1240,0,1861
1240,0,1862
1240,0,1863
1240,0,1864
1240,0,1865
1240,0,1866
1240,0,1867
1240,0,1868
1240,0,1869
1838,0,1241
1838,0,1242
1838,0,1243
1838,0,1244
1838,0,1286
1838,0,1245
1838,0,1246
1838,0,1247
1838,0,1248
1838,0,1249
1838,0,1250
1838,0,1251
1838,0,1310
1838,0,11522
1838,0,1310
1838,0,1253
1838,0,1311
1838,0,1254
1311,0,1287
1311,0,1312
1311,0,1313
1311,0,1314
1840,0,1255
1840,0,1256
1840,0,1257
1840,0,1258
1840,0,1259
1840,0,1260
1840,0,1261
1840,0,1262
1840,0,1263
1840,0,1264
1840,0,1265
1840,0,1266
1840,0,1254
1841,0,1267
1841,0,1268
1841,0,1269
1841,0,1270
1841,0,1271
1841,0,1272
1841,0,1273
1841,0,1274
1841,0,1278
1841,0,1275
1841,0,1279
1841,0,1276
1841,0,1280
1841,0,1277
1841,0,1281
1841,0,1282
1841,0,1283
1841,0,1284
1841,0,1285
1841,0,1254
1842,0,1288
1842,0,1183
1842,0,1289
1842,0,1290
1842,0,1291
1842,0,1292
1842,0,1293
1842,0,1294
1842,0,1295
1842,0,1296
1842,0,1183
1842,0,1297
1842,0,1254
1846,0,1298
1846,0,1299
1846,0,1300
1846,0,1305
1846,0,1301
1846,0,1302
1846,0,1303
1846,0,1183
1846,0,1304
1846,0,1183
1846,0,1306
1846,0,1307
1846,0,1308
1846,0,1309
1846,0,1254
1849,0,1315
1849,0,1316
1849,0,1317
1849,0,1318
1849,0,1319
1849,0,1305
1849,0,1320
1849,0,1321
1849,0,1322
1849,0,1323
1849,0,1324
1849,0,1183
1849,0,1325
1849,0,1326
1849,0,1327
1849,0,1254
1852,0,1328
1852,0,1329
1852,0,1330
1852,0,1341
1852,0,1331
1852,0,1332
1852,0,1333
1852,0,1334
1852,0,1335
1852,0,1286
1852,0,1336
1852,0,1337
1852,0,1338
1852,0,1339
1852,0,1340
1852,0,1308
1852,0,1254
1341,0,1287
1341,0,1312
1341,0,1313
1341,0,1314
1853,0,1342
1853,0,1343
1853,0,1344
1853,0,1345
1853,0,1305
1853,0,1346
1853,0,1347
1853,0,1305
1853,0,1348
1853,0,1350
1853,0,1349
1853,0,1351
1853,0,1254
1857,0,1352
1857,0,1353
1857,0,1354
1857,0,1355
1857,0,1356
1857,0,1357
1857,0,1358
1857,0,1359
1857,0,1360
1857,0,1361
1857,0,1362
1857,0,1363
1857,0,1364
1857,0,1365
1857,0,1366
1857,0,1254
1868,0,1367
1868,0,1368
1868,0,1369
1868,0,1370
1868,0,1305
1868,0,1371
1868,0,1372
1868,0,1332
1868,0,1373
1868,0,1374
1868,0,1375
1868,0,1183
1868,0,1376
1868,0,1183
1868,0,1377
1868,0,1378
1868,0,1379
1868,0,1380
1382,0,1388
1382,0,1389
1382,0,1390
1382,0,1391
1382,0,1392
1382,0,1393
1382,0,1394
1382,0,1395
1382,0,1396
1138,1671,1404
1404,0,1440
1440,0,1406
1440,0,1407
1440,0,1408
1440,0,1409
1440,0,1410
1440,0,1411
1440,0,1412
1440,0,1413
1138,1672,1405
1405,0,1414
1405,0,1415
1405,0,1416
1405,0,1417
1405,0,1418
1405,0,1419
1405,0,1420
1405,0,1421
1405,0,1422
1405,0,1423
1405,0,1105
1405,0,1424
1405,0,1425
1405,0,1426
1405,0,1427
1405,0,1428
1405,0,1429
1405,0,1430
1405,0,1431
1405,0,1441
1405,0,1437
1405,0,1438
1405,0,1439
1405,0,1442
1405,0,1443
1441,0,1432
1441,0,1433
1441,0,1434
1441,0,1435
1441,0,1436
